SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXPERIMENT,EXECUTABLE,ARG1,ARG2,ARG3,ARG4,ARG5,OUTPUT
9402291,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,1,"Results 16:
|T| = (1,-5.55112e-17)
T[0] = (1.37304e-18,-5.20222e-19)
Max chis = (2, 4, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 4, 2)
Max chi = 10
Time taken: 776359 ms"
9402292,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,2,"Results 16:
|T| = (1,-6.245e-17)
T[0] = (7.1507e-16,8.29929e-16)
Max chis = (2, 4, 8, 16, 18, 19, 19, 19, 19, 19, 19, 18, 19, 19, 19, 18, 19, 19, 19, 19, 19, 18, 18, 19, 18, 19, 18, 18, 19, 19, 19, 18, 18, 18, 18, 19, 18, 19, 19, 18, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 19, 19, 19, 18, 18, 19, 18, 18, 16, 8, 4, 2)
Max chi = 19
Time taken: 799418 ms"
9402293,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,3,"Results 16:
|T| = (1,-1.37633e-36)
T[0] = (1.57809e-14,7.26639e-15)
Max chis = (2, 4, 8, 16, 25, 27, 27, 27, 27, 27, 27, 27, 28, 28, 27, 28, 27, 27, 28, 28, 27, 27, 28, 28, 28, 28, 28, 28, 28, 27, 26, 27, 27, 27, 27, 27, 27, 28, 27, 27, 27, 28, 27, 27, 27, 28, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 28, 28, 28, 28, 28, 28, 27, 28, 28, 27, 27, 28, 27, 27, 27, 27, 25, 16, 8, 4, 2)
Max chi = 28
Time taken: 794884 ms"
9402294,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,4,"Results 16:
|T| = (1,7.63278e-17)
T[0] = (-1.02005e-15,-1.91667e-16)
Max chis = (2, 4, 8, 16, 32, 35, 36, 36, 36, 36, 36, 35, 36, 35, 36, 35, 36, 36, 36, 36, 36, 35, 35, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 35, 35, 35, 36, 35, 35, 35, 35, 36, 36, 36, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 35, 36, 36, 36, 35, 35, 36, 35, 35, 35, 35, 36, 36, 36, 35, 36, 36, 35, 31, 16, 8, 4, 2)
Max chi = 37
Time taken: 796610 ms"
9402295,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,5,"Results 16:
|T| = (1,-1.66533e-16)
T[0] = (-2.30237e-14,-1.38573e-14)
Max chis = (2, 4, 8, 16, 32, 43, 44, 44, 45, 44, 44, 44, 45, 45, 44, 45, 44, 44, 44, 44, 44, 45, 44, 44, 45, 44, 45, 45, 45, 44, 44, 44, 44, 45, 44, 46, 45, 45, 45, 45, 45, 44, 44, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 44, 44, 44, 45, 45, 46, 45, 45, 44, 43, 32, 16, 8, 4, 2)
Max chi = 46
Time taken: 796966 ms"
9402296,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,6,"Results 16:
|T| = (1,1.94289e-16)
T[0] = (-1.39451e-14,3.43035e-14)
Max chis = (2, 4, 8, 16, 32, 50, 53, 53, 52, 53, 52, 52, 53, 54, 53, 52, 53, 53, 53, 53, 53, 53, 54, 53, 53, 53, 53, 53, 53, 54, 53, 53, 52, 53, 53, 53, 54, 53, 53, 53, 53, 54, 53, 54, 53, 52, 52, 53, 53, 53, 52, 53, 52, 53, 52, 52, 53, 52, 52, 53, 53, 53, 53, 54, 53, 54, 53, 53, 53, 53, 53, 52, 52, 50, 32, 16, 8, 4, 2)
Max chi = 54
Time taken: 801915 ms"
9402297,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,7,"Results 16:
|T| = (1,5.55112e-17)
T[0] = (-3.18378e-14,-1.98401e-15)
Max chis = (2, 4, 8, 16, 32, 57, 61, 62, 62, 62, 61, 62, 61, 62, 61, 62, 61, 61, 62, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 63, 62, 62, 61, 61, 61, 61, 60, 61, 61, 62, 62, 62, 61, 61, 61, 61, 61, 61, 62, 61, 62, 62, 62, 63, 62, 62, 61, 61, 61, 61, 62, 61, 62, 62, 62, 61, 62, 62, 61, 61, 58, 32, 16, 8, 4, 2)
Max chi = 63
Time taken: 792630 ms"
9402298,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,8,"Results 16:
|T| = (1,-1.38778e-16)
T[0] = (3.69742e-13,1.09974e-13)
Max chis = (2, 4, 8, 16, 32, 62, 69, 70, 70, 70, 70, 70, 70, 71, 71, 70, 71, 71, 71, 71, 70, 71, 71, 71, 71, 71, 71, 71, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 71, 70, 69, 70, 70, 71, 71, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 71, 70, 70, 70, 70, 71, 70, 70, 71, 71, 70, 70, 69, 63, 32, 16, 8, 4, 2)
Max chi = 71
Time taken: 784219 ms"
9402299,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,9,"Results 16:
|T| = (1,-2.08167e-17)
T[0] = (-8.39427e-15,1.24332e-14)
Max chis = (2, 4, 8, 16, 32, 64, 76, 77, 79, 78, 78, 78, 78, 79, 78, 78, 78, 79, 79, 79, 79, 79, 79, 79, 78, 79, 79, 78, 78, 79, 79, 79, 79, 79, 80, 79, 79, 79, 78, 78, 78, 78, 78, 79, 78, 79, 79, 79, 78, 79, 79, 78, 78, 78, 78, 78, 78, 79, 79, 78, 79, 79, 79, 79, 79, 79, 78, 79, 79, 79, 79, 79, 77, 64, 32, 16, 8, 4, 2)
Max chi = 80
Time taken: 779145 ms"
9402300,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,10,"Results 16:
|T| = (1,6.93889e-17)
T[0] = (-9.77141e-15,1.09946e-14)
Max chis = (2, 4, 8, 16, 32, 64, 83, 86, 86, 87, 87, 87, 88, 87, 87, 87, 86, 87, 87, 87, 87, 87, 87, 88, 87, 88, 88, 88, 87, 87, 87, 87, 87, 87, 88, 88, 88, 87, 87, 88, 87, 87, 87, 87, 88, 87, 87, 87, 88, 88, 87, 87, 87, 87, 87, 88, 87, 88, 87, 87, 87, 86, 87, 87, 88, 87, 88, 88, 88, 87, 87, 87, 84, 64, 32, 16, 8, 4, 2)
Max chi = 88
Time taken: 787423 ms"
